date,open,high,low,close,volume
202011251212,61349,61349,61349,61349,69
202011251214,61444,61444,61444,61444,2
202011251215,61444,61444,61444,61444,2
202011251216,61444,61444,61444,61444,25
202011251217,61444,61444,61349,61349,346
202011251218,61444,61444,61444,61444,1
202011251219,61444,61444,61349,61349,269
202011251220,61349,61349,61349,61349,106
202011251221,61349,61349,61349,61349,100
202011251222,61349,61349,61253,61349,7
202011251223,61253,61253,61253,61253,3
202011251224,61253,61444,61253,61444,26
202011251225,61349,61349,61349,61349,10
202011251226,61349,61349,61349,61349,15
202011251227,61253,61253,61253,61253,230
202011251230,61349,61349,61349,61349,8
202011251234,61349,61349,61349,61349,3
202011251236,61349,61349,61349,61349,1
202011251238,61349,61349,61349,61349,13
202011251239,61349,61349,61349,61349,1
202011251240,61349,61349,61349,61349,18
202011251241,61349,61349,61349,61349,20
202011251242,61349,61349,61349,61349,50
202011251244,61349,61349,61349,61349,10
202011251245,61349,61349,61349,61349,6
202011251252,61349,61349,61349,61349,1
202011251253,61444,61444,61444,61444,10
202011251254,61349,61349,61253,61253,12
202011251255,61349,61349,61253,61253,3
202011251259,61349,61349,61349,61349,10
202011251303,61349,61349,61349,61349,5
202011251307,61349,61349,61349,61349,105
202011251310,61349,61444,61349,61444,18
202011251314,61349,61349,61349,61349,45
202011251316,61444,61444,61444,61444,1
202011251319,61349,61349,61253,61253,33
202011251321,61349,61349,61253,61253,20
202011251326,61540,61540,61540,61540,1
202011251328,61540,61540,61540,61540,1
202011251329,61540,61540,61540,61540,2
202011251333,61540,61635,61540,61635,71
202011251334,61635,61635,61635,61635,1
202011251335,61540,61540,61540,61540,72
202011251341,61540,61540,61540,61540,6
202011251345,61540,61540,61540,61540,48
202011251346,61444,61444,61253,61253,152
202011251348,61253,61253,61253,61253,1
202011251353,61349,61349,61253,61253,66
202011251400,61444,61444,61444,61444,20
202011251401,61540,61540,61540,61540,1
202011251406,61540,61540,61540,61540,53
202011251410,61444,61444,61444,61444,56
202011251413,61349,61349,61349,61349,10
202011251414,61349,61349,61349,61349,100
202011251415,61349,61349,61349,61349,71
202011251416,61349,61349,61349,61349,2
202011251417,61253,61253,61253,61253,27
202011251418,61253,61253,61253,61253,20
202011251419,61253,61253,61253,61253,62
202011251420,61253,61253,61253,61253,448
202011251421,61158,61158,61158,61158,14
202011251427,61158,61158,61158,61158,6
202011251429,61540,61540,61540,61540,1
202011251432,61444,61444,61444,61444,30
202011251433,61158,61158,61158,61158,1
202011251436,61253,61253,61158,61158,62
202011251443,61253,61253,61158,61158,125
202011251444,61158,61158,61158,61158,15
202011251448,61253,61253,61253,61253,18
202011251454,61253,61253,61253,61253,32
202011251456,61349,61349,61253,61253,30
202011251501,61349,61349,61349,61349,100
202011251502,61349,61349,61349,61349,47
202011251503,61349,61349,61349,61349,1
202011251504,61253,61253,61253,61253,15
202011251505,61349,61349,61349,61349,23
202011251506,61349,61349,61349,61349,15
202011251507,61253,61253,61253,61253,4
202011251508,61253,61253,61253,61253,5
202011251509,61349,61349,61349,61349,2
202011251510,61349,61349,61349,61349,14
202011251511,61349,61349,61349,61349,5
202011251512,61349,61349,61349,61349,71
202011251513,61349,61349,61349,61349,31
202011251514,61349,61349,61349,61349,2
202011251515,61349,61349,61349,61349,30
202011251518,61444,61444,61444,61444,5
202011251519,61349,61349,61349,61349,61
202011251520,61349,61349,61349,61349,20
202011251530,61349,61349,61349,61349,116
202011260901,61349,61349,61349,61349,37
202011260907,61349,61540,61253,61540,45
202011260908,61540,61540,61540,61540,4
202011260909,61253,61253,61253,61253,52
202011260916,61444,61444,61444,61444,40
202011260918,61444,61444,61444,61444,20
202011260921,61540,61540,61444,61444,51
202011260923,61444,61444,61444,61444,1
202011260924,61444,61444,61444,61444,22
202011260925,61349,61349,61349,61349,2
202011260928,61444,61444,61444,61444,5
202011260929,61349,61349,61349,61349,21
202011260931,61349,61349,61253,61253,215
202011260932,61253,61253,61158,61158,15
202011260933,61158,61158,61158,61158,135
202011260934,61063,61063,61063,61063,11
202011260935,61063,61063,61063,61063,8
202011260939,61444,61444,61444,61444,61
202011260940,61444,61444,61444,61444,71
202011260942,61444,61444,61444,61444,51
202011260944,61540,61540,61540,61540,10
202011260945,61444,61444,61444,61444,29
202011260947,61444,61444,61444,61444,1
202011260952,61444,61444,61253,61253,59
202011260953,61444,61444,61444,61444,45
202011260954,61444,61444,61444,61444,3
202011260958,61444,61444,61444,61444,3
202011260959,61444,61540,61444,61540,54
202011261000,61540,61540,61540,61540,5
202011261001,61540,61540,61540,61540,5
202011261003,61253,61253,61253,61253,2
202011261009,61253,61253,61253,61253,55
202011261012,61253,61444,61253,61444,61
202011261019,61253,61253,61158,61158,46
202011261022,61158,61158,61158,61158,24
202011261023,61158,61158,61158,61158,5
202011261025,61158,61158,61158,61158,2
202011261029,61253,61253,61253,61253,4
202011261030,61158,61158,61063,61063,30
202011261034,61253,61253,61253,61253,1
202011261035,61253,61253,61253,61253,6
202011261037,61253,61253,61158,61158,15
202011261040,61158,61158,61158,61158,40
202011261046,61158,61158,61158,61158,30
202011261047,61158,61158,61158,61158,1
202011261048,61158,61158,61158,61158,5
202011261049,61158,61158,60967,60967,347
202011261056,60967,60967,60967,60967,200
202011261059,61063,61063,61063,61063,46
202011261100,60967,60967,60967,60967,1
202011261106,61158,61158,61158,61158,11
202011261107,61158,61158,61158,61158,11
202011261108,61158,61158,61158,61158,1
202011261109,61063,61063,61063,61063,45
202011261112,61063,61063,61063,61063,2
202011261114,61063,61063,61063,61063,10
202011261116,61158,61158,61158,61158,80
202011261118,61158,61158,61158,61158,129
202011261119,61253,61253,61158,61158,44
202011261128,61349,61349,61349,61349,24
202011261132,61349,61444,61349,61444,10
202011261134,61444,61444,61444,61444,5
202011261135,61444,61444,61444,61444,9
202011261151,61444,61444,61444,61444,90
202011261153,61444,61444,61444,61444,11
202011261155,61253,61253,60967,60967,342
202011261157,61063,61063,61063,61063,5
202011261201,61158,61158,61063,61063,60
202011261213,61063,61063,61063,61063,9
202011261215,61063,61063,61063,61063,81
202011261217,61063,61063,61063,61063,17
202011261224,61063,61063,61063,61063,3
202011261232,61063,61063,61063,61063,10
202011261236,61063,61063,61063,61063,20
202011261238,61349,61349,61349,61349,10
202011261239,61349,61349,61349,61349,50
202011261243,61063,61063,61063,61063,3
202011261247,61158,61158,61158,61158,2
202011261253,61158,61158,61158,61158,50
202011261254,61158,61158,61158,61158,12
202011261255,61349,61349,61349,61349,1
202011261256,61349,61349,61349,61349,12
202011261258,61349,61349,61349,61349,20
202011261259,61349,61349,61349,61349,72
202011261300,61349,61349,61349,61349,1
202011261303,61158,61158,61158,61158,150
202011261311,61158,61158,61158,61158,10
202011261312,61349,61349,61349,61349,1
202011261317,61349,61349,61349,61349,8
202011261322,61158,61158,61158,61158,50
202011261323,61158,61158,61158,61158,50
202011261324,61253,61253,61253,61253,2
202011261325,61158,61158,61158,61158,1
202011261326,61158,61158,61158,61158,1
202011261329,61349,61349,61349,61349,1
202011261331,61253,61253,61253,61253,30
202011261333,61253,61253,61253,61253,60
202011261334,61253,61253,61253,61253,2
202011261337,61349,61349,61349,61349,12
202011261338,61349,61349,61349,61349,8
202011261340,61349,61349,61349,61349,7
202011261342,61349,61349,61349,61349,11
202011261343,61349,61349,61349,61349,2
202011261349,61253,61253,61253,61253,6
202011261355,61253,61253,61063,61063,265
202011261409,61253,61253,61253,61253,1
202011261411,61253,61253,61253,61253,13
202011261412,61349,61349,61349,61349,2
202011261415,61349,61349,61253,61253,11
202011261416,61349,61349,61349,61349,4
202011261417,61253,61253,61253,61253,50
202011261418,61253,61253,61253,61253,3
202011261423,61253,61253,61253,61253,4
202011261426,61349,61349,61349,61349,138
202011261427,61444,61444,61444,61444,30
202011261428,61349,61349,61349,61349,30
202011261430,61349,61349,61349,61349,30
202011261441,61349,61349,61349,61349,2
202011261444,61349,61349,61349,61349,1
202011261446,61349,61349,61349,61349,1
202011261453,61349,61444,61349,61444,203
202011261454,61540,61540,61540,61540,47
